code_departement,nb_inscrits,nb_abstentions,pct_absetention,nb_votants,candidat_gagnant,population_departement,taux_pauvrete,niveau_median_mois,nb_chomeurs,pct_chomeurs,nb_agriculteurs,pct_agriculteurs,nb_ouvriers,pct_ouvriers,nb_artisans,pct_artisans,nb_employes,pct_employes,nb_professions_intermediaires,pct_professions_intermediaires,nb_cadres,pct_cades,pct_contravention,nb_contravention,pct_delit,nb_delit,pct_crime,nb_crime,annee
1,429810,91262,21,338548,LE PEN,655261,10.5,1995,33090,4,2630,0,60761,9,16594,3,66283,10,69963,11,39980,6.97,2,11286,2,8508,0,758,2023
3,251398,56808,23,194590,MACRON,336118,15.4,1733,"20,600.00",5,4180,1,28049,8,7711,2,34210,10,26214,8,10333,3.75,2,6849,2,4459,0,455,2023
7,253219,51116,20,202103,LE PEN,329134,14.3,1771,"20,294.00",5,3069,1,27156,8,10221,3,31489,10,29462,9,11901,4.38,2,6084,1,3777,0,314,2023
15,116417,24118,21,92299,MACRON,144593,13.2,1748,"5,801.00",3,4818,3,12288,8,3890,3,15182,10,11183,8,4180,3.4,1,1915,1,1259,0,153,2023
26,377108,79857,21,297251,LE PEN,516296,14.7,1803,"33,121.00",5,4068,1,42216,8,14658,3,48089,9,48675,9,24661,5.68,3,13687,2,9259,0,748,2023
38,927893,204352,22,723541,MACRON,1274458,11.2,1955,"69,308.00",4,3851,0,94305,7,31670,2,119436,9,134408,11,95353,8.74,3,35548,2,23939,0,1782,2023
42,618319,144624,23,473694,LE PEN,766594,14.7,1772,"45,922.00",4,3852,1,68746,9,18484,2,72041,9,69591,9,32774,5.02,2,18949,2,12061,0,944,2023
43,179287,35350,20,143937,MACRON,227284,12.1,1776,"11,007.00",4,3505,2,21166,9,6888,3,22698,10,20316,9,7399,3.86,2,3331,1,2166,0,283,2023
63,509243,109908,21,399335,MACRON,658868,12.7,1864,"36,372.00",4,4540,1,51846,8,15595,2,66254,10,62326,9,39200,6.92,2,16034,2,10206,0,765,2023
69,1171783,253145,22,918638,MACRON,1873543,13.8,1971,"112,061.00",5,4003,0,112084,6,43024,2,173331,9,199907,11,175254,10.71,4,78548,3,42145,0,3005,2023
73,316520,66456,21,250064,MACRON,437950,9.8,1962,"19,601.00",3,1695,0,35079,8,13577,3,45004,10,48945,11,23846,6.38,2,12189,1,5959,0,625,2023
74,768281,173953,22,594328,FILLON,827833,9.1,2263,"41,918.00",4,2381,0,71664,9,25611,3,90622,11,97769,12,54548,7.58,2,19642,2,11499,0,1691,2023
